Numero_RCS,Publication,Date,Company_Name,Address,Tags,Employee_List
8230635,RESA_2019_004.681,04-01-2019,« BARCELO SA »,"15, rue Bender, L-1229 Luxembourg ","'Management', 'Subscription', 'Purchase', 'Exchange', 'Debt'","'Jean Bodoni', 'Hervé Hautin', 'Laurent Huss', 'Nadia WEYRICH'"
E6791,RESA_2019_004.687,04-01-2019,Karine Home SCI,"153-155C, rue du Kiem, L-8030 Strassen, ","'Development', 'Commercial'","'Alain LESBACHES', 'Karine LESBACHES GOLINVAL'"
8230637,RESA_2019_004.695,04-01-2019,Nexteer Luxembourg Holding VII S.à r.l.,,"'Holding', 'Foreign', 'Real Estate', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Development', 'Management', 'Debentures'",'Luis MARQUES GUILHERME'
8230638,RESA_2019_004.696,04-01-2019,Y&Y Direct," 52-54, Avenue du X Septembre, L-2550 Luxembourg, ",,"'Damien BARBOSA', 'Irina BOECHAT-AGAPONOVA'"
8230639,RESA_2019_004.702,04-01-2019,GSO ESDF ll (Luxembourg) Levered Holdco ll S.à r.l.," L-2453 Luxembourg  2-4, rue Eugène Ruppert ","'Acquisition', 'Holding', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment', 'Real Estate'",
8230640,RESA_2019_004.703,04-01-2019,L&L Direct," 52-54, Avenue du X Septembre, L-2550 Luxembourg, ",,"'Damien BARBOSA', 'Irina BOECHAT-AGAPONOVA'"
8230641,RESA_2019_004.710,04-01-2019,BAHA INVEST S.A.,"L-4303 Esch/Alzette, 10 Place des Remparts R.C.S. de Luxembourg ",,"'Hakim MAKACI', 'Sabira MAKACI'"
F12101,RESA_2019_004.80,04-01-2019,JEUNESSE WiDriGo Asbl,33I rue de wilwerdange L-9911 Troisvierges  Statuten,,
F12102,RESA_2019_004.87 ',04-01-2019,Association sans but lucratif.," 10, rue Henry Bessemer L-4032 Esch-sur-Alzette  ",,
B230607,RESA_2019_004.98,04-01-2019,« Skip Wind SARL »," 24, avenue Emile Reuter, L-2420 Luxembourg ",,"'Simon Barnes', 'Sylvain Goetz', 'Jennifer Ferrand'"
8230608,RESA_2019_004.99,04-01-2019,TIBODA S.à.r.l.,"L-5773 Weiler-la—Tour,  1, Schlammestee,  …",'Development',"'Dan STUDER', 'Timo STUDER', 'Bob GANTENBEIN ', 'Bob GAN TEN BEIN '"
8230646,RESA_2019_005.114,07-01-2019,GSO ESDF ll (Luxembourg) Levered Holdco l S.à r.l.," L-2453 Luxembourg  2-4, rue Eugène Ruppert ","'Acquisition', 'Holding', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment', 'Real Estate'",
8230647,RESA_2019_005.166,07-01-2019,APP’STREAM S.à r.l.-S; Société à responsabilité limitée simpliﬁée,,'Foreign','Michel GOFFIN'
8230648,RESA_2019_005.167,07-01-2019,Orbit Pooling S.à r.l.," 1, rue Hildegard von Bingen, L-1282, Luxembourg ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Françoise Kindt'
8230649,RESA_2019_005.168,07-01-2019,Bellwood Midco Limited," 12, rue Jean Engling, L-1466 Luxembourg ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Development'","'Frank Stolz-Page', 'Benjamin Chouraki'"
8230650,RESA_2019_005.169,07-01-2019,Kalôs S.àr.l.," L-1660 Luxembourg, 56, Grand-Rue No. 32.985","'Commercial', 'Development'","'Claire ROEF', 'Nina ROEF'"
8230651,RESA_2019_005.171,07-01-2019,AUXILIO CONSULTING SERVICES S.à r.1.," 45 avenue de la Liberté, L—1931 Luxembourg  ",,"'.Alain. NOULLET', 'Stéphane ALLART', 'Alain NOULLET', 'Ingrid LAFOND'"
B230652,RESA_2019_005.175,07-01-2019,GSAF Spain Club GP S.à r.l.," 33 rue du Puits Romain, Bertrange L-8070. ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt'","'Robert Hessing', 'Claire Bianconi', 'Inga Astashova'"
8230653,RESA_2019_005.176,07-01-2019,« Edinburgh Abode S.à r.l. »,"L-1468 Luxembourg, 16, rue Erasme ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'",
8230654,RESA_2019_005.177,07-01-2019,26BR SARL," 35a, avenue J .F. Kennedy L-1855 Luxembourg ","'Acquisition', 'Holding', 'Foreign', 'Administration', 'Development', 'Management'","'Frank Stolz-Page', 'Klaus Ense', 'Juho Hiltunen', 'Artyom Grigoryan'"
8230655,RESA_2019_005.369,07-01-2019,Marximus S.à r.l.,"  21, avenue Monterey, ","'Administration', 'Management', 'Development', 'Acquisition'",'Gerard VALERIUS'
8230656,RESA_2019_005.370,07-01-2019,photosAdventures S.à r.l.," 45, rue de Hussigny, L-4461 Belvaux, ",'Foreign',"'Fernand BRAUN', 'Serge MICHELS', 'Carmen LEARDINI épouse BRAUN', 'Nelly SCHELTGEN epouse MICHELS', 'Carmen LEARDIN I épouse BRAUN'"
8230657,RESA_2019_005.372,07-01-2019,E-TOTO Luxembourg S.à r.l.,"  L-1637 Luxembourg, ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt'","'ROGOWSKI', 'ULATOWSKI', 'Rogowski', 'Ulatowski', 'Ygal OZECHOV'"
8230658,RESA_2019_005.374,07-01-2019,LiCi Green Levels,,,"'Horst Baumann', 'David Girra', 'Pamela Vera Hoerr'"
8230659,RESA_2019_005.376,07-01-2019,UK Logistics PropCo I S.à r.l.,,"'Holding', 'Foreign', 'Investment', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Leysan Schoemann'
8230660,RESA_2019_005.378,07-01-2019,CNV S.à r.].," 52-54 Avenue du X Septembre, L-2550 Luxembourg Grand-Duché du Luxembourg.  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt'",'Virginie Pierru'
8230662,RESA_2019_005.379,07-01-2019,LT Investments SA," L-1724 Luxembourg, 45, bd du Prince Henri    ",'Development','Farid Bassiri'
8230642,RESA_2019_005.38,07-01-2019,LUXALTEA,"15, rue Bender, L-1229 Luxembourg  Grand-Duché de Luxembourg ","'Acquisition', 'Foreign', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Development'","'Nicolas Dumont', 'Sébastien Wiander', 'Hervé Hautin', 'Nadia Weyrich'"
8230661,RESA_2019_005.380,07-01-2019,EREL 4 s.À R.L.,25C Boulevard Royal  L-2449 Luxembourg ,'Subscription','Géraldine Udol'
8230663,RESA_2019_005.382,07-01-2019,EREL 5 s.À R.L.,25C Boulevard Royal  L-2449 Luxembourg ,'Subscription','Géraldine Udol'
8230664,RESA_2019_005.383,07-01-2019,EREL 6 s.À R.L.,25C Boulevard Royal  L-2449 Luxembourg ,'Subscription','Géraldine Udol'
8230665,RESA_2019_005.393,07-01-2019,"Cabinet Benoit Savary, expertise comptable,",,"'Commercial', 'Development'",'Benoit Savary'
F12105,RESA_2019_005.399,07-01-2019,Photo-Frënn Réimech,"29, rue de la Gare  5540 Remich",,
8230666,RESA_2019_005.491,07-01-2019,«Silver Invest S.à r.l.»," 3Ia, rue Guillaume Kroll, L-1882 Luxembourg ","'Acquisition', 'Holding', 'Foreign', 'Administration', 'Development', 'Management', 'Finance'","'Jean-Pierre Verlaine', 'Adrien Delvenne'"
B230667,RESA_2019_005.571,07-01-2019,Henkell Freixenet Luxembourg S.à r.].," 1, Rue Eecherschmelz  L- 1481 Luxembourg ","'Acquisition', 'Subscription', 'Development'",'Cédric Rausch'
B230668,RESA_2019_005.572,07-01-2019,XTRA S.à r.l.,"L-3321 Berchem, 32, Rue Méckenheck ",,'Abdelyassine BOUROUIS'
8230669,RESA_2019_005.581,07-01-2019,COMPTAXIOME S.à r.l.,"L-8070 Bertrange, 10B, Rue des  Mérovingiens ",'Development',"'Pierre ANGÉ', 'Catherine DE WAELE'"
8230670,RESA_2019_005.584,07-01-2019,BC Partners European Real Estate |," 29 avenue de la Porte Neuve, L-2227 Luxembourg, Grand-Duché de Luxembourg R.C.S. Luxembourg : en cours d'immatriculation ",'Investment',
8230671,RESA_2019_005.587,07-01-2019,Permira VII L.P.2 SCSp,,,
8230672,RESA_2019_005.592,07-01-2019,JDC Invest SA.,"5, rue des Primeurs - L-2361 Strassen ","'Foreign', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Development', 'Acquisition'","'Jonathan Duquene', 'David Luksenburg', 'Jonathan Duquenne'"
8230673,RESA_2019_005.597,07-01-2019,GCFinances SA.,"5, rue des Primeurs - L-2361 Strassen ","'Foreign', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Development', 'Acquisition'","'Guillaume Camut', 'David Luksenburg', 'Guillaume CAMUT'"
8230675,RESA_2019_005.712,07-01-2019,LUXEMBOURG CLEANING SYSTEMS S.à.r.l.-S," L-9170 Mertzig, 3, rue de Michelbouch  Entre |e soussigné: ",'Commercial',"'Marie Louise TROES', 'Mareie Louise TROES'"
8230643,RESA_2019_005.80,07-01-2019,ABC TAXI S.à r.l.-S ; Société à responsabilité limitée simpliﬁée,,'Commercial','Fernando RODRIGUES DA SILVA PEREIRA'
8230644,RESA_2019_005.86,07-01-2019,Sub-National Climate Fund Africa SCSp-RAIF," 31, Z.A.I. Bourmicht, L-8070 Bertrange, Luxembourg  ","'Investment', 'Debt'",
8230645,RESA_2019_005.99,07-01-2019,Atkion S.A.,"32, rue Marie-Adélaïde L-2128 Luxembourg","'Acquisition', 'Administration', 'Management', 'Development'","'Inessa WENDLAND', 'Caroline RAMIER', 'lnessa WENDLAND 31 .000', 'lnessa WENDLAND'"
B230677,RESA_2019_006.16,08-01-2019,KKR RE Asia S.à r.l.," 2, rue Edward Steichen, L-2540 Luxembourg ","'Acquisition', 'Foreign', 'Investment', 'Administration', 'Development', 'Management'","'Chris Oberhag', 'William J. J anetschek', 'Jason Carss', 'Stefan Lambert'"
B230678,RESA_2019_006.17,08-01-2019,"«PENTAGON ALPHA DEFENDER FUND», Société en Commandite Spéciale"," Luxembourg, L-8308 Capellen, 89 E, Parc d’Activités    ",,
8230679,RESA_2019_006.18,08-01-2019,4.1,4.2  4.3  4.4,,
8230680,RESA_2019_006.19,08-01-2019,Wealth Fountain Investment S.à r.l.,,"'Acquisition', 'Management', 'Investment'",
8230681,RESA_2019_006.20,08-01-2019,GSA Spain Opportunistic SCSp,,'Investment',
F12106,RESA_2019_006.208,08-01-2019,Association des huissiers et surveillants de salle auprès de l’État (en abrégé,,'Administration',
8230691,RESA_2019_006.209,08-01-2019,Rue de Mersch S.A.,"L-2680 Luxembourg, 11, rue de Vianden ","'Development', 'Acquisition', 'Management', 'Foreign'","'John François HOFFMANN', 'Pit THlLLENS', 'Félix Hoffmann', 'Nadine Renée Irma DEMUTH', 'Anouk RIES'"
8230682,RESA_2019_006.21,08-01-2019,Berlynvest SA,"1, rue Hildegard von Bingen  L-1282 Luxembourg, Grand-Duché de Luxembourg ","'Acquisition', 'Administration', 'Management', 'Debt'",'Léon Lhoist'
B230692,RESA_2019_006.210,08-01-2019,"ColonyGP Credit V, S.à r.l."," 6A Route de Trèves, L-2633 Senningerberg, ","'Holding', 'Foreign', 'Acquisition', 'Purchase', 'Subscription'",
8230693,RESA_2019_006.211,08-01-2019,Navi Barging Management S.à r.l.,,,
B230694,RESA_2019_006.212,08-01-2019,Orbit Topco S.à r.l.," 1, rue Hildegard von Bingen, L-1282, Luxembourg ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Françoise Kindt'
8230695,RESA_2019_006.216,08-01-2019,Prologis UK CCCXXXIII S.à r.l.," 34-38, Avenue de la Liberté, L-1930 Luxembourg ",,'Marc BECKER'
B230683,RESA_2019_006.22,08-01-2019,LOUIZA IMMO S.à r.l.," L-4303 Esch/Alzette, 10 Place des Remparts R.C.S. Luxembourg  ",,'Sabira MAKACI'
B230696,RESA_2019_006.225,08-01-2019,HERBETET INVESTISSEMENT S.à r.l.," L-1260 Luxembourg  92, rue de Bonnevoie ","'Holding', 'Foreign', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Debentures', 'Administration', 'Development', 'Management'",
8230684,RESA_2019_006.23,08-01-2019,Credit Suisse Private Equity Platform II (Access) S.A. SICAV—RAIF," 5, rue Jean Monnet, L-2180 Luxembourg  ","'Investment', 'Management', 'Development'","'Françoise Kindt', 'Francoise Kindt'"
8230685,RESA_2019_006.24,08-01-2019,Prologis UK CCCXXXV S.à r.l.," 34-38, Avenue de la Liberté, L-1930 Luxembourg ",,'Marc BECKER'
8230687,RESA_2019_006.26,08-01-2019,LeadCrest Advisory Capital Partners S.à r.l.,,,'Antoine Merle'
8230688,RESA_2019_006.27,08-01-2019,ARAN GA,"6, rue Adolphe, L-1116 Luxembourg ",,"'Christian GAUDUEL', 'Xavier GAUDUEL', 'Richard HAWEL', 'Caroline RAMIER'"
8230697,RESA_2019_006.275,08-01-2019,Prologis UK CCCXXXVI S.à r.l.," 34-38, Avenue de la Liberté, L-1930 Luxembourg ",,'Marc BECKER'
B230689,RESA_2019_006.28,08-01-2019,ATRIM INVEST SA.," 296-298, Route de Longwy, L-1940 Luxembourg ",,"'Chris Oberhag', 'Maurice Clément GIRAUD', 'Pascal GRANDE', 'Marjorie Golinvaux'"
B230698,RESA_2019_006.347,08-01-2019,"LEO TEXTILES, S.à.r.l. — S"," 49, Route de Pétange, L-4645 NIEDERKORN  L'an de deux mille dix-huit, le 30 Novembre ","'Purchase', 'Commercial'",'Leonisa Aurora DA SILVA COSTA ANTUNES'
8230699,RESA_2019_006.391,08-01-2019,Immo — Lalux Boulevard Royal,"L-3372 Leudelange  9, rue Jean Fischbach ","'Acquisition', 'Administration', 'Management'","'Pit Hentgen', 'François Pauly', 'Strasser Christian', 'Laurent Schummer'"
8230700,RESA_2019_006.402,08-01-2019,Mariàhilfer Straße 10-18 Co-Invest S.à r.l.,,,
8230701,RESA_2019_006.404,08-01-2019,Thermo TLH Luxembourg S.à r.l.,"8-10, Avenue de la Gare  L-1610 Luxembourg  NUMERO 254/2018","'Commercial', 'Finance', 'Foreign', 'Acquisition', 'Investment', 'Development', 'Subscription'","'François BROUXEL', 'Sebastian KOLLER', 'Petrus Thomas Adrianus VAN DER ZANDE'"
8230702,RESA_2019_006.405,08-01-2019,Bellwood Investments Limited," 12, rue Jean Engling, L-1466 Luxembourg ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Development'","'Frank Stolz-Page', 'Benjamin Chouraki'"
8230703,RESA_2019_006.407,08-01-2019,Coubertin Invest S.à r.l.," L-1358 Luxembourg, 4, rue Pierre de Coubertin ","'Purchase', 'Commercial'","'Jean-Nicolas LEGLISE', 'Claudia ROUCKERT'"
8230704,RESA_2019_006.409,08-01-2019,Combo Midco SARL," 1, rue Hildegard von Bingen L-1282 Luxembourg ","'Acquisition', 'Holding', 'Foreign', 'Administration', 'Development', 'Management'","'Frank Stolz-Page', 'François Champon', 'Nadia Dziwinski'"
8230705,RESA_2019_006.410,08-01-2019,Garten- und Landschaftsbau Braschel S.à r.l.,,,
8230706,RESA_2019_006.413,08-01-2019,ATLANT BERLIN s.À R.L.,,"'Acquisition', 'Foreign', 'Holding', 'Investment'",'Max MAYER employé privé'
8230707,RESA_2019_006.414,08-01-2019,PAVILU S.à r.l.," L-4979 Fingig, 34, rue Nicolas Margue ",,"'Paul Nicolas SCHULTE', 'Vitor Manuel MONTEIRO SIMOES', 'Luc REITER', 'Claudia ROUCKERT'"
B230708,RESA_2019_006.415,08-01-2019,"Minibiz, S.à r.l.-S; Société à responsabilité limitée simpliﬁée",,"'Commercial', 'Development'","'Bezine Brahim né le 18 octobre 1978 à Thionville', 'Bezine Brahim', 'Bezine Abdelkader '"
B230709,RESA_2019_006.417,08-01-2019,CSL Fund (PB) Holdings C Lux Sàrl ll," 10-12, Boulevard Roosevelt L-2450 Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'","'Emmanuel BRESSON', 'Xavier PONCELET', 'Lukasz MALECKI', 'Alessandro MACRI', 'Corinne PETIT', 'Faith ROSENFELD', 'Hyana KIM'"
8230710,RESA_2019_006.418,08-01-2019,« AREEF SARL.GE.2.0. »," 15, Boulevard F. W. Raiffeisen, L-2411 Luxembourg ",'Management',"'Jean-Eric Vimont', 'Stéphane Campori', 'Jennifer Ferrand'"
8230711,RESA_2019_006.421,08-01-2019,Niederkorn Adjacent Partners S.C.Sp.,"5c, rue Eugène Ruppert, L-2453 Luxembourg  EXTRAIT  || résulte d'un","'Management', 'Subscription', 'Purchase', 'Exchange', 'Debt'",
8230712,RESA_2019_006.422,08-01-2019,AB ADVISOR,,"'Management', 'Subscription', 'Purchase', 'Exchange'","'Aule Dalamel de Bournet', 'Aule Dalamel de Bournet prénommé', 'Fédérica Dalamel de Bournet'"
8230713,RESA_2019_006.433,08-01-2019,Interwil International Establishment S.à r.l.,"12, rue Guillaume Kroll, L-1882 Luxembourg Grand-Duché de Luxembourg  RESOLUTIONS DE L’ASSOCIÉE UNIQUE  DU 21 DECEMBRE 2018","'Acquisition', 'Administration', 'Management', 'Development', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt'",'J ean-Francois BOURGUIGNON having his professional address at 56'
8230714,RESA_2019_006.438,08-01-2019,Private Debt Investments (C) (Luxembourg) S.à.r.l.,"L-1219 Luxembourg, 24, rue Beaumont ","'Foreign', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debt', 'Development', 'Acquisition'","'William Jones', 'Henry Kelly', 'Terrence Alfred Farrelly'"
8230690,RESA_2019_006.48,08-01-2019,Prologis UK CCCXXXIV S.à r.l.," 34-38, Avenue de la Liberté, L-1930 Luxembourg ",,'Marc BECKER'
8230715,RESA_2019_006.480,08-01-2019,MR CONSULT S. à r. I. — S.,"17, rue Alphonse München L-2172 Luxembourg",,'Michael Bernhard RENNER'
8230716,RESA_2019_006.543,08-01-2019,« DogStays S.à r.l.-S » ; Société à responsabilité limitée simpliﬁée,,'Development',
8230717,RESA_2019_006.590,08-01-2019,LIHRPLAN Sàrl," 19 Place St Michel, L-7556 Mersch    ","'Foreign', 'Acquisition', 'Management', 'Administration', 'Exchange'","'Rui Humberto DIAS', 'Olimpio DAS NEVES CARDOSO', 'Olivio MARQUES CARDOSO'"
B230718,RESA_2019_006.596,08-01-2019,Authentic Luxco S.à r.].,"8, rue Lou Hemmer  L- 1748 Luxembourg-Findel  Grand Duché de Luxembourg","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment'",
8230719,RESA_2019_006.599,08-01-2019,"numbrelly, S.à r.l.-S, vereinfachte Gesellschaft mit beschränkter Haftung","L-3236 Bettembourg, 6a, rue de la Gare  SATZUN G Im Jahr zweitausendachtzehn am zwölften Dezember  wurde von der Unterzeichneten",,
B230720,RESA_2019_006.600,08-01-2019,"KARIBOU CAPITAL,"," 22, rue Jean Wolter, L-3544 Dudelange    ","'Commercial', 'Purchase', 'Management', 'Holding'","'Olivier Crambade', 'Edouard Maire'"
8230721,RESA_2019_006.601,08-01-2019,Lloyds Far East S.à r.l.," 48 boulevard Grande-Duchesse Charlotte, L-1330 Luxembourg Grand-Duché de Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment'",
B230722,RESA_2019_006.627,08-01-2019,Archmore IDP ll Sub-Fund ll Holding ll S.à r.|.,"33a, Avenue J.-F. Kennedy, L-1855 Luxembourg ","'Administration', 'Management', 'Debt'",'Caroline RAMIER'
8230723,RESA_2019_006.741,08-01-2019,O Bifaneiro do Vale S.A R.l.-S,,'Commercial',"'VALE DE ALMEIDA Agostinho', 'Vale de Almeida Agostinho', 'REIS DOS SANTOS Anabela', 'Reis Dos Santos Anabela'"
F12107,RESA_2019_006.781,08-01-2019,Velo Wal asbl,"12 rue Principale L-8819 Heispelt  STATUTEN  Chapitre 1 — la dénomination, le siège et le but §1 :",,
8230724,RESA_2019_006.786,08-01-2019,"TPG Real Estate Partners Ill EU AIV Parallel, SCSp"," SC, rue Eugène Ruppert 2453 Luxembourg  ","'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Management'",
8230725,RESA_2019_006.796,08-01-2019,Marina Investment S.à r.l.,,"'Acquisition', 'Management', 'Investment'",
B230676,RESA_2019_006.8,08-01-2019,Cresco Capital Station S.à r.l.," L-8399 Windhof 6, rue d’Arlon, Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment', 'Real Estate'","'Jonathan Thiltges', 'Claire Schmitt'"
8230742,RESA_2019_007.155,09-01-2019,« Giällewee 11 S.A. »,"69, Haaptstrooss L-9806 HOSINGEN","'Purchase', 'Commercial'",'Frank BERMES'
8230726,RESA_2019_007.19,09-01-2019,ICAWOOD CC SAS," 35, rue Glesener, L-1630 Luxembourg ",,
B230743,RESA_2019_007.195,09-01-2019,"STAFFORD SUSTAINABLE SECONDARIES FUND Ill (LUX), SCSp","412F route d'Esch, L-2086 Luxembourg, Grand-Duché de Luxembourg  EXTRAIT ANALYTIQUE  || est porté a la connaissance du public que le",,
E6792,RESA_2019_007.196,09-01-2019,CashSmart Société Civile,"4, rue Henri Schnadt, L-2530 Luxembourg ","'Commercial', 'Purchase', 'Exchange', 'Development', 'Foreign', 'Holding', 'Management'","'Frantz WALLENBORN', 'Frantz Wallenborn', 'Laure JACQUET', 'Susanne WALLENBORN'"
8230744,RESA_2019_007.198,09-01-2019,Stilbe Investment S.à r.l.," 2, Avenue Charles de Gaulle L-1653 Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'",'Isabel DIAS'
8230745,RESA_2019_007.199,09-01-2019,LSF 89 S.à r.l.," Atrium Business Park-Vitrum 33, rue du Puits Romain  ","'Acquisition', 'Holding', 'Foreign', 'Administration', 'Management', 'Development'",'Liridon ELSHANI'
8230727,RESA_2019_007.20,09-01-2019,MONDO CHEMICALS Luxembourg S.à r.l.,"L-9711 Clervaux, 61, Grand-Rue Grand-Duché de Luxembourg ",,"'Ismaël DJELASSI', 'Coralie BOULEZ'"
8230746,RESA_2019_007.200,09-01-2019,Mash Services Luxembourg,"9, rue du Laboratoire, L-1911 Luxembourg ","'Management', 'Development'","'Tommi LINDFORS', 'Patrick VAN HEES', 'Samuli KORPINEN'"
8230747,RESA_2019_007.201,09-01-2019,Wellinvest SA,"1, rue Hildegard von Bingen  L-1282 Luxembourg, Grand-Duché de Luxembourg ","'Acquisition', 'Administration', 'Management', 'Debt'",'Léon Lhoist'
8230748,RESA_2019_007.202,09-01-2019,Stilbe Holding S.à r.l.," 2, Avenue Charles de Gaulle L-1653 Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'",'Isabel DIAS'
B230749,RESA_2019_007.203,09-01-2019,Blackstone Strategic Capital Holdings ll (Lux) SCSp,"11-13, Boulevard de la Foire, L-1528 Luxembourg Grand-Duché de Luxembourg  EXTRAIT  Société en commandite spéciale",'Management',
8230728,RESA_2019_007.21,09-01-2019,INCO MBO SARL,,,
8230729,RESA_2019_007.22,09-01-2019,Seitz charpente métallique Luxembourg S.à r.l.,,,
8230750,RESA_2019_007.223,09-01-2019,SEA SUN MANAGEMENT S.à r.l.," 24, rue Astrid, L-1143 Luxembourg R.C.S. Luxembourg en cours d’inscription  ",'Subscription',"'Jean DONNET', 'Xavier SOULARD', 'Anne-Sophie TOURRETTE', 'Nathalie VAZQUEZ'"
8230730,RESA_2019_007.23,09-01-2019,TDE Luxco," 6, Rue Eugene Ruppert, L-2543 Luxembourg, Grand-Duché de Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment'",
B230731,RESA_2019_007.24,09-01-2019,Jump Consult S.à r.l.," L-8069 Bertrange  19, rue de l’Industrie ","'Management', 'Development'","'Cécile SOKIL', 'Simone KNAEBEL', 'Marion KNAEBEL'"
8230732,RESA_2019_007.25,09-01-2019,Stilbe Property S.à r.l.," 2, Avenue Charles de Gaulle L-1653 Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'",'Isabel DIAS'
8230733,RESA_2019_007.26,09-01-2019,Stilbe Opportunity S.à r.l.," 2, Avenue Charles de Gaulle L-1653 Luxembourg  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'",'Isabel DIAS'
8230734,RESA_2019_007.27,09-01-2019,GENTEC EPC S.A.," L-2146 Luxembourg 63-65, rue de Merl ","'Purchase', 'Subscription'","'Philippe VANDERHOVEN', 'Christophe MOUTON', 'Colin WALKER', 'Jean-Marc FABER', 'la présidente désigne comme secrétaire et scrutateur', 'Ingrid LAFOND', 'Judith CHATOO'"
8230735,RESA_2019_007.28,09-01-2019,Areachap Investments 2 S.à r.|.,,"'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment'",
8230736,RESA_2019_007.29,09-01-2019,Sanolux SA,"1, rue Hildegard von Bingen  L-1282 Luxembourg, Grand-Duché de Luxembourg ","'Acquisition', 'Administration', 'Management', 'Debt'",'Léon Lhoist'
8230737,RESA_2019_007.33,09-01-2019,LSF 86 S.à r.|.," Atrium Business Park-Vitrum 33, rue du Puits Romain  ","'Acquisition', 'Holding', 'Foreign', 'Administration', 'Management', 'Development'",'Liridon Elshani'
8230751,RESA_2019_007.343,09-01-2019,Phoenicia Finance S.A.,"3IA, rue Guillaume Kroll, L-1882 Luxembourg ","'Holding', 'Acquisition'","'Adrien Delvenne', 'Stefano Marcolini'"
B230752,RESA_2019_007.349,09-01-2019,GSA Spain Opportunistic Holdco S.à r.l.," 33 rue du Puits Romain, Bertrange L-8070. ","'Acquisition', 'Management'","'Robert Hessing', 'Claire Bianconi', 'Inga Astashova'"
8230753,RESA_2019_007.353,09-01-2019,THE LOUPE S.à.R.L.-S,"L-9412 Vianden, 5 rue de la Frontière  L'an deux mille dix-neuf, le quatre janvier à L-9412 Vianden, 5 rue de la Frontière  A COMPARU:","'Management', 'Development'","'KARPENKO TETYANA', 'Karpenko Tetyana'"
B230754,RESA_2019_007.357,09-01-2019,Naiilux SA,"111/115 avenue de Luxembourg  L-4940 Bascharage, Grand-Duché de Luxembourg ","'Acquisition', 'Administration', 'Management', 'Debt'",'Léon Lhoist'
8230755,RESA_2019_007.363,09-01-2019,“RFR Fund GP”," 121, avenue de la Faïencerie L-151 1 Luxembourg (Grand-Duché de Luxembourg) ","'Investment', 'Commercial'",'Christian DOSTERT'
8230756,RESA_2019_007.364,09-01-2019,CAM PRIVATE CAPITAL STRATEGIES SCA,"5. Heienhaff, L-1736 Senningerberg, Grand-Duché de",,'Zoé Bofferding'
8230757,RESA_2019_007.386,09-01-2019,MERONA S.à rl-S; Société à responsabilité limitée simpliﬁée1," 333 Rue De Neudorf, 2221 Luxembourg  ARTICLES D'ASSOCIATION ","'Commercial', 'Development'",
